timestamp,FCE-03_TEMP,FCE-03_VIB
2026-01-01 00:00,829.5,1.23
2026-01-01 01:00,830.2,1.33
2026-01-01 02:00,832.0,1.07
2026-01-01 03:00,836.4,1.22
2026-01-01 04:00,838.2,1.26
2026-01-01 05:00,844.2,1.39
2026-01-01 06:00,850.3,1.26
2026-01-01 07:00,850.1,1.22
2026-01-01 08:00,857.9,1.58
2026-01-01 09:00,860.9,1.48
2026-01-01 10:00,865.4,1.38
2026-01-01 11:00,864.3,1.65
2026-01-01 12:00,869.1,1.57
2026-01-01 13:00,866.7,1.62
2026-01-01 14:00,866.3,1.42
2026-01-01 15:00,862.7,1.32
2026-01-01 16:00,847.8,1.35
2026-01-01 17:00,849.5,1.45
2026-01-01 18:00,850.3,1.10
2026-01-01 19:00,846.3,1.13
2026-01-01 20:00,838.7,1.21
2026-01-01 21:00,835.7,1.35
2026-01-01 22:00,834.6,1.29
2026-01-01 23:00,832.9,1.31
2026-01-02 00:00,827.8,1.16
2026-01-02 01:00,829.0,1.31
2026-01-02 02:00,831.5,1.53
2026-01-02 03:00,832.4,1.12
2026-01-02 04:00,841.7,1.42
2026-01-02 05:00,845.1,1.35
2026-01-02 06:00,853.0,1.24
2026-01-02 07:00,847.7,1.28
2026-01-02 08:00,860.3,1.25
2026-01-02 09:00,860.8,1.53
2026-01-02 10:00,862.5,1.64
2026-01-02 11:00,867.4,1.87
2026-01-02 12:00,868.2,1.53
2026-01-02 13:00,863.4,1.49
2026-01-02 14:00,866.9,1.49
2026-01-02 15:00,860.5,1.59
2026-01-02 16:00,854.5,1.39
2026-01-02 17:00,846.2,1.21
2026-01-02 18:00,846.0,1.30
2026-01-02 19:00,847.5,1.25
2026-01-02 20:00,839.9,1.27
2026-01-02 21:00,839.1,1.36
2026-01-02 22:00,833.4,1.13
2026-01-02 23:00,833.8,1.30
2026-01-03 00:00,834.3,1.25
2026-01-03 01:00,837.4,1.21
2026-01-03 02:00,838.0,1.26
2026-01-03 03:00,833.5,1.11
2026-01-03 04:00,838.5,1.42
2026-01-03 05:00,846.2,1.33
2026-01-03 06:00,839.7,1.34
2026-01-03 07:00,854.6,1.27
2026-01-03 08:00,854.8,1.42
2026-01-03 09:00,866.8,1.37
2026-01-03 10:00,862.1,1.72
2026-01-03 11:00,863.8,1.54
2026-01-03 12:00,866.3,1.45
2026-01-03 13:00,866.2,1.44
2026-01-03 14:00,866.7,1.55
2026-01-03 15:00,868.7,1.53
2026-01-03 16:00,861.8,1.27
2026-01-03 17:00,852.2,1.38
2026-01-03 18:00,854.1,1.05
2026-01-03 19:00,846.8,1.32
2026-01-03 20:00,844.4,1.34
2026-01-03 21:00,835.5,1.19
2026-01-03 22:00,828.0,1.27
2026-01-03 23:00,829.9,1.49
2026-01-04 00:00,827.9,1.29
2026-01-04 01:00,825.1,1.20
2026-01-04 02:00,833.3,1.35
2026-01-04 03:00,840.3,1.24
2026-01-04 04:00,835.1,1.30
2026-01-04 05:00,845.2,1.31
2026-01-04 06:00,845.5,1.39
2026-01-04 07:00,853.0,1.42
2026-01-04 08:00,861.5,1.50
2026-01-04 09:00,861.7,1.76
2026-01-04 10:00,864.4,1.52
2026-01-04 11:00,865.8,1.77
2026-01-04 12:00,866.4,1.66
2026-01-04 13:00,869.6,1.53
2026-01-04 14:00,857.5,1.59
2026-01-04 15:00,861.5,1.42
2026-01-04 16:00,860.0,1.50
2026-01-04 17:00,849.2,1.40
2026-01-04 18:00,847.3,1.07
2026-01-04 19:00,844.9,1.24
2026-01-04 20:00,836.4,1.31
2026-01-04 21:00,837.0,1.18
2026-01-04 22:00,833.8,1.37
2026-01-04 23:00,828.1,1.30
2026-01-05 00:00,830.0,1.52
2026-01-05 01:00,824.1,1.33
2026-01-05 02:00,831.3,1.24
2026-01-05 03:00,841.9,1.25
2026-01-05 04:00,846.8,1.20
2026-01-05 05:00,844.6,1.19
2026-01-05 06:00,845.6,1.26
2026-01-05 07:00,851.7,1.36
2026-01-05 08:00,849.6,1.67
2026-01-05 09:00,860.1,1.71
2026-01-05 10:00,860.1,1.59
2026-01-05 11:00,876.5,1.48
2026-01-05 12:00,860.8,1.53
2026-01-05 13:00,867.0,1.67
2026-01-05 14:00,868.1,1.52
2026-01-05 15:00,855.1,1.45
2026-01-05 16:00,861.3,1.48
2026-01-05 17:00,845.8,1.34
2026-01-05 18:00,852.9,1.51
2026-01-05 19:00,845.3,1.29
2026-01-05 20:00,834.7,1.15
2026-01-05 21:00,835.4,1.31
2026-01-05 22:00,834.4,1.19
2026-01-05 23:00,826.6,1.16
2026-01-06 00:00,826.0,1.33
2026-01-06 01:00,822.5,1.21
2026-01-06 02:00,834.0,1.43
2026-01-06 03:00,835.5,1.37
2026-01-06 04:00,837.6,1.16
2026-01-06 05:00,841.0,1.43
2026-01-06 06:00,851.5,1.31
2026-01-06 07:00,864.3,1.34
2026-01-06 08:00,859.2,1.46
2026-01-06 09:00,860.0,1.78
2026-01-06 10:00,868.9,1.39
2026-01-06 11:00,864.0,1.64
2026-01-06 12:00,868.7,1.44
2026-01-06 13:00,857.5,1.36
2026-01-06 14:00,863.3,1.54
2026-01-06 15:00,861.9,1.41
2026-01-06 16:00,852.7,1.18
2026-01-06 17:00,853.8,1.38
2026-01-06 18:00,851.5,1.34
2026-01-06 19:00,842.7,1.41
2026-01-06 20:00,838.5,1.17
2026-01-06 21:00,833.5,1.18
2026-01-06 22:00,824.8,1.27
2026-01-06 23:00,831.5,1.21
2026-01-07 00:00,827.5,1.29
2026-01-07 01:00,836.6,1.25
2026-01-07 02:00,830.6,1.18
2026-01-07 03:00,835.0,1.10
2026-01-07 04:00,838.6,1.26
2026-01-07 05:00,849.8,1.36
2026-01-07 06:00,851.6,1.16
2026-01-07 07:00,855.0,1.20
2026-01-07 08:00,858.1,1.48
2026-01-07 09:00,858.0,1.74
2026-01-07 10:00,865.6,1.32
2026-01-07 11:00,867.3,1.54
2026-01-07 12:00,866.0,1.66
2026-01-07 13:00,866.8,1.34
2026-01-07 14:00,859.5,1.65
2026-01-07 15:00,865.3,1.73
2026-01-07 16:00,863.3,1.18
2026-01-07 17:00,855.4,1.11
2026-01-07 18:00,853.6,1.28
2026-01-07 19:00,839.3,1.49
2026-01-07 20:00,841.3,1.02
2026-01-07 21:00,836.3,1.16
2026-01-07 22:00,832.8,1.19
2026-01-07 23:00,835.4,1.08
2026-01-08 00:00,831.1,1.47
2026-01-08 01:00,827.7,1.28
2026-01-08 02:00,833.1,1.18
2026-01-08 03:00,837.5,1.27
2026-01-08 04:00,835.7,1.48
2026-01-08 05:00,846.1,1.25
2026-01-08 06:00,845.8,1.18
2026-01-08 07:00,857.0,1.35
2026-01-08 08:00,858.6,1.43
2026-01-08 09:00,862.9,1.52
2026-01-08 10:00,866.3,1.57
2026-01-08 11:00,868.3,1.71
2026-01-08 12:00,865.6,1.54
2026-01-08 13:00,862.1,1.55
2026-01-08 14:00,860.1,1.71
2026-01-08 15:00,860.6,1.75
2026-01-08 16:00,865.0,1.49
2026-01-08 17:00,847.2,1.36
2026-01-08 18:00,847.7,1.14
2026-01-08 19:00,842.5,1.36
2026-01-08 20:00,837.4,1.24
2026-01-08 21:00,832.6,1.55
2026-01-08 22:00,831.9,1.24
2026-01-08 23:00,829.3,1.46
2026-01-09 00:00,827.6,1.40
2026-01-09 01:00,833.2,1.44
2026-01-09 02:00,837.3,1.29
2026-01-09 03:00,839.2,1.26
2026-01-09 04:00,837.6,1.51
2026-01-09 05:00,846.2,1.37
2026-01-09 06:00,843.8,1.44
2026-01-09 07:00,850.5,1.35
2026-01-09 08:00,854.7,1.58
2026-01-09 09:00,853.3,1.67
2026-01-09 10:00,864.2,1.62
2026-01-09 11:00,869.0,1.80
2026-01-09 12:00,863.9,1.66
2026-01-09 13:00,867.8,1.55
2026-01-09 14:00,862.4,1.63
2026-01-09 15:00,861.0,1.68
2026-01-09 16:00,857.1,1.72
2026-01-09 17:00,853.5,1.47
2026-01-09 18:00,843.8,1.50
2026-01-09 19:00,845.2,1.60
2026-01-09 20:00,836.4,1.43
2026-01-09 21:00,835.1,1.42
2026-01-09 22:00,832.4,1.23
2026-01-09 23:00,833.5,1.52
2026-01-10 00:00,834.0,1.71
2026-01-10 01:00,829.5,1.44
2026-01-10 02:00,832.4,1.68
2026-01-10 03:00,829.2,1.51
2026-01-10 04:00,833.9,1.15
2026-01-10 05:00,836.3,1.30
2026-01-10 06:00,851.7,1.36
2026-01-10 07:00,851.9,1.42
2026-01-10 08:00,859.1,1.52
2026-01-10 09:00,865.3,1.61
2026-01-10 10:00,860.9,1.80
2026-01-10 11:00,865.5,2.00
2026-01-10 12:00,866.4,1.70
2026-01-10 13:00,863.4,1.76
2026-01-10 14:00,866.1,1.85
2026-01-10 15:00,860.3,1.85
2026-01-10 16:00,855.2,1.66
2026-01-10 17:00,853.3,1.78
2026-01-10 18:00,847.7,1.47
2026-01-10 19:00,839.7,1.60
2026-01-10 20:00,836.9,1.56
2026-01-10 21:00,828.6,1.65
2026-01-10 22:00,827.7,1.44
2026-01-10 23:00,834.3,1.37
2026-01-11 00:00,829.7,1.55
2026-01-11 01:00,827.1,1.70
2026-01-11 02:00,837.7,1.31
2026-01-11 03:00,830.2,1.65
2026-01-11 04:00,834.4,1.51
2026-01-11 05:00,843.8,1.64
2026-01-11 06:00,847.2,1.57
2026-01-11 07:00,849.9,1.81
2026-01-11 08:00,855.3,1.79
2026-01-11 09:00,858.9,1.83
2026-01-11 10:00,863.0,1.86
2026-01-11 11:00,861.8,2.02
2026-01-11 12:00,870.9,1.97
2026-01-11 13:00,867.9,2.03
2026-01-11 14:00,866.8,1.93
2026-01-11 15:00,861.5,1.95
2026-01-11 16:00,857.2,1.66
2026-01-11 17:00,852.7,1.47
2026-01-11 18:00,848.0,1.66
2026-01-11 19:00,847.7,1.63
2026-01-11 20:00,842.2,1.62
2026-01-11 21:00,831.7,1.45
2026-01-11 22:00,829.0,1.46
2026-01-11 23:00,832.8,1.61
2026-01-12 00:00,832.0,1.64
2026-01-12 01:00,834.3,1.77
2026-01-12 02:00,830.2,1.61
2026-01-12 03:00,833.4,1.45
2026-01-12 04:00,841.4,1.79
2026-01-12 05:00,843.3,1.59
2026-01-12 06:00,851.8,1.38
2026-01-12 07:00,853.3,1.77
2026-01-12 08:00,855.0,2.01
2026-01-12 09:00,864.1,1.89
2026-01-12 10:00,863.3,1.93
2026-01-12 11:00,863.6,1.86
2026-01-12 12:00,870.8,2.16
2026-01-12 13:00,868.2,1.89
2026-01-12 14:00,870.9,2.23
2026-01-12 15:00,861.4,1.83
2026-01-12 16:00,854.0,1.92
2026-01-12 17:00,849.5,1.79
2026-01-12 18:00,851.8,1.53
2026-01-12 19:00,850.4,1.90
2026-01-12 20:00,834.7,1.54
2026-01-12 21:00,834.3,1.59
2026-01-12 22:00,831.5,1.41
